"Date_unif","LakeID","hylak_id","max_depth","thermo","Year","unstrat"
1980-03-07,"117",825,29,NA,1980,1
1980-03-08,"393",9373,15,NA,1980,1
1980-03-17,"118",9358,30,NA,1980,1
1980-03-20,"391",9322,24,NA,1980,1
1980-03-23,"6",1275,309,NA,1980,1
1980-03-25,"390",808,50,NA,1980,1
1980-03-26,"389",9313,29,NA,1980,1
1980-03-27,"119",112796,15,NA,1980,1
1980-03-28,"24",14185,70,NA,1980,1
1980-03-30,"1",8478,64,NA,1980,1
1980-04-01,"400",9288,21,NA,1980,1
1980-04-01,"94",9273,31,NA,1980,1
1980-04-04,"96",796,49,NA,1980,1
1980-04-09,"93",9219,20,NA,1980,1
1980-04-10,"115",730,8,NA,1980,1
1980-04-10,"23",170136,27,NA,1980,1
1980-04-11,"395",110899,24,NA,1980,1
1980-04-12,"242",110435,10,NA,1980,1
1980-04-12,"MIDAS-9961",110435,10,NA,1980,1
1980-04-13,"147",8931,9,NA,1980,1
1980-04-13,"15",9017,11,NA,1980,1
1980-04-13,"16",9017,11,NA,1980,1
1980-04-17,"339",8906,35,NA,1980,1
1980-04-18,"186",110227,12,NA,1980,1
1980-04-18,"192",110740,18,NA,1980,1
1980-04-19,"31",9086,24,NA,1980,1
1980-04-19,"7",111593,28,NA,1980,1
1980-04-19,"WI-593072",8939,25,NA,1980,1
1980-04-19,"WI-643451",108132,11,NA,1980,1
1980-04-19,"WI-683143",111096,13,NA,1980,1
1980-04-20,"124",9102,21,NA,1980,1
1980-04-20,"413",9025,17,NA,1980,1
1980-04-20,"414",9025,17,NA,1980,1
1980-04-20,"aba15",6632,23,NA,1980,1
1980-04-25,"306",64,121,NA,1980,1
1980-04-26,"WI-443210",8772,26,NA,1980,1
1980-04-27,"416",738,46,NA,1980,1
1980-04-27,"417",738,46,NA,1980,1
1980-05-01,"WI-153112",109602,11,NA,1980,1
1980-05-05,"MIDAS-5222",110665,15,NA,1980,1
1980-05-11,"aba27",12809,24,NA,1980,1
1980-05-15,"25",1045611,15,NA,1980,1
1980-05-27,"aba14",1038367,8,NA,1980,1
1981-02-18,"117",825,29,NA,1981,1
1981-02-24,"393",9373,15,NA,1981,1
1981-02-27,"118",9358,30,NA,1981,1
1981-03-07,"391",9322,24,NA,1981,1
1981-03-08,"390",808,50,NA,1981,1
1981-03-09,"1",8478,64,NA,1981,1
1981-03-09,"119",112796,15,NA,1981,1
1981-03-11,"389",9313,29,NA,1981,1
1981-03-12,"aba30",16673,16,NA,1981,1
1981-03-20,"6",1275,309,NA,1981,1
1981-03-22,"94",9273,31,NA,1981,1
1981-03-23,"96",796,49,NA,1981,1
1981-03-24,"93",9219,20,NA,1981,1
1981-03-27,"24",14185,70,NA,1981,1
1981-03-30,"400",9288,21,NA,1981,1
1981-04-02,"23",170136,27,NA,1981,1
1981-04-10,"31",9086,24,NA,1981,1
1981-04-10,"339",8906,35,NA,1981,1
1981-04-12,"395",110899,24,NA,1981,1
1981-04-13,"115",730,8,NA,1981,1
1981-04-16,"WI-593072",8939,25,NA,1981,1
1981-04-21,"7",111593,28,NA,1981,1
1981-04-25,"WI-443210",8772,26,NA,1981,1
1981-04-26,"aba15",6632,23,NA,1981,1
1981-04-27,"124",9102,21,NA,1981,1
1981-04-27,"147",8931,9,NA,1981,1
1981-04-27,"15",9017,11,NA,1981,1
1981-04-27,"16",9017,11,NA,1981,1
1981-04-27,"186",110227,12,NA,1981,1
1981-04-27,"192",110740,18,NA,1981,1
1981-04-27,"242",110435,10,NA,1981,1
1981-04-27,"306",64,121,NA,1981,1
1981-04-27,"MIDAS-9961",110435,10,NA,1981,1
1981-04-28,"WI-643451",108132,11,NA,1981,1
1981-04-29,"413",9025,17,NA,1981,1
1981-04-29,"414",9025,17,NA,1981,1
1981-04-29,"416",738,46,NA,1981,1
1981-04-29,"417",738,46,NA,1981,1
1981-04-29,"WI-683143",111096,13,NA,1981,1
1981-05-09,"aba27",12809,24,NA,1981,1
1981-05-10,"MIDAS-5222",110665,15,NA,1981,1
1981-05-13,"WI-153112",109602,11,NA,1981,1
1981-05-22,"aba14",1038367,8,NA,1981,1
1981-05-26,"25",1045611,15,NA,1981,1
1982-02-27,"117",825,29,NA,1982,1
1982-03-03,"393",9373,15,NA,1982,1
1982-03-11,"118",9358,30,NA,1982,1
1982-03-12,"391",9322,24,NA,1982,1
1982-03-14,"119",112796,15,NA,1982,1
1982-03-15,"389",9313,29,NA,1982,1
1982-03-15,"390",808,50,NA,1982,1
1982-03-16,"94",9273,31,NA,1982,1
1982-03-16,"aba30",16673,16,NA,1982,1
1982-03-21,"6",1275,309,NA,1982,1
1982-03-22,"96",796,49,NA,1982,1
1982-03-23,"93",9219,20,NA,1982,1
1982-03-30,"400",9288,21,NA,1982,1
1982-03-31,"24",14185,70,NA,1982,1
1982-04-04,"1",8478,64,NA,1982,1
1982-04-06,"23",170136,27,NA,1982,1
1982-04-11,"115",730,8,NA,1982,1
1982-04-12,"395",110899,24,NA,1982,1
1982-04-21,"aba14",1038367,8,NA,1982,1
1982-04-23,"15",9017,11,NA,1982,1
1982-04-23,"16",9017,11,NA,1982,1
1982-04-24,"147",8931,9,NA,1982,1
1982-04-24,"186",110227,12,NA,1982,1
1982-04-24,"192",110740,18,NA,1982,1
1982-04-24,"242",110435,10,NA,1982,1
1982-04-24,"31",9086,24,NA,1982,1
1982-04-24,"339",8906,35,NA,1982,1
1982-04-24,"7",111593,28,NA,1982,1
1982-04-24,"MIDAS-9961",110435,10,NA,1982,1
1982-04-24,"WI-683143",111096,13,NA,1982,1
1982-04-25,"124",9102,21,NA,1982,1
1982-04-27,"WI-593072",8939,25,NA,1982,1
1982-04-27,"WI-643451",108132,11,NA,1982,1
1982-04-28,"WI-443210",8772,26,NA,1982,1
1982-04-29,"413",9025,17,NA,1982,1
1982-04-29,"414",9025,17,NA,1982,1
1982-04-30,"306",64,121,NA,1982,1
1982-04-30,"416",738,46,NA,1982,1
1982-04-30,"417",738,46,NA,1982,1
1982-05-02,"MIDAS-5222",110665,15,NA,1982,1
1982-05-07,"aba15",6632,23,NA,1982,1
1982-05-12,"aba27",12809,24,NA,1982,1
1982-05-24,"WI-153112",109602,11,NA,1982,1
1982-07-09,"25",1045611,15,NA,1982,1
1983-02-16,"393",9373,15,NA,1983,1
1983-02-17,"117",825,29,NA,1983,1
1983-02-28,"118",9358,30,NA,1983,1
1983-02-28,"390",808,50,NA,1983,1
1983-02-28,"391",9322,24,NA,1983,1
1983-03-01,"389",9313,29,NA,1983,1
1983-03-10,"aba30",16673,16,NA,1983,1
1983-03-15,"1",8478,64,NA,1983,1
1983-03-16,"6",1275,309,NA,1983,1
1983-04-03,"24",14185,70,NA,1983,1
1983-04-04,"115",730,8,NA,1983,1
1983-04-05,"400",9288,21,NA,1983,1
1983-04-08,"23",170136,27,NA,1983,1
1983-04-10,"94",9273,31,NA,1983,1
1983-04-10,"96",796,49,NA,1983,1
1983-04-11,"119",112796,15,NA,1983,1
1983-04-13,"395",110899,24,NA,1983,1
1983-04-14,"aba14",1038367,8,NA,1983,1
1983-04-19,"93",9219,20,NA,1983,1
1983-04-21,"339",8906,35,NA,1983,1
1983-04-22,"15",9017,11,NA,1983,1
1983-04-22,"16",9017,11,NA,1983,1
1983-04-23,"242",110435,10,NA,1983,1
1983-04-23,"MIDAS-9961",110435,10,NA,1983,1
1983-04-24,"186",110227,12,NA,1983,1
1983-04-24,"31",9086,24,NA,1983,1
1983-04-24,"WI-683143",111096,13,NA,1983,1
1983-04-25,"147",8931,9,NA,1983,1
1983-04-25,"413",9025,17,NA,1983,1
1983-04-25,"414",9025,17,NA,1983,1
1983-04-25,"WI-593072",8939,25,NA,1983,1
1983-04-26,"192",110740,18,NA,1983,1
1983-04-26,"WI-643451",108132,11,NA,1983,1
1983-04-27,"124",9102,21,NA,1983,1
1983-04-27,"306",64,121,NA,1983,1
1983-04-27,"7",111593,28,NA,1983,1
1983-04-28,"WI-443210",8772,26,NA,1983,1
1983-05-04,"416",738,46,NA,1983,1
1983-05-04,"417",738,46,NA,1983,1
1983-05-06,"aba27",12809,24,NA,1983,1
1983-05-12,"aba15",6632,23,NA,1983,1
1983-05-27,"WI-153112",109602,11,NA,1983,1
1983-05-31,"MIDAS-5222",110665,15,NA,1983,1
1983-06-02,"25",1045611,15,NA,1983,1
1984-03-01,"117",825,29,NA,1984,1
1984-03-12,"393",9373,15,NA,1984,1
1984-03-14,"118",9358,30,NA,1984,1
1984-03-14,"391",9322,24,NA,1984,1
1984-03-15,"119",112796,15,NA,1984,1
1984-03-15,"aba30",16673,16,NA,1984,1
1984-03-18,"6",1275,309,NA,1984,1
1984-03-21,"389",9313,29,NA,1984,1
1984-03-23,"1",8478,64,NA,1984,1
1984-03-23,"390",808,50,NA,1984,1
1984-03-31,"115",730,8,NA,1984,1
1984-04-04,"94",9273,31,NA,1984,1
1984-04-07,"24",14185,70,NA,1984,1
1984-04-09,"96",796,49,NA,1984,1
1984-04-10,"395",110899,24,NA,1984,1
1984-04-10,"400",9288,21,NA,1984,1
1984-04-11,"93",9219,20,NA,1984,1
1984-04-12,"23",170136,27,NA,1984,1
1984-04-22,"15",9017,11,NA,1984,1
1984-04-22,"16",9017,11,NA,1984,1
1984-04-23,"339",8906,35,NA,1984,1
1984-04-26,"124",9102,21,NA,1984,1
1984-04-26,"7",111593,28,NA,1984,1
1984-04-27,"147",8931,9,NA,1984,1
1984-04-27,"186",110227,12,NA,1984,1
1984-04-27,"192",110740,18,NA,1984,1
1984-04-27,"242",110435,10,NA,1984,1
1984-04-27,"306",64,121,NA,1984,1
1984-04-27,"MIDAS-9961",110435,10,NA,1984,1
1984-04-29,"aba15",6632,23,NA,1984,1
1984-05-02,"WI-443210",8772,26,NA,1984,1
1984-05-02,"WI-593072",8939,25,NA,1984,1
1984-05-04,"31",9086,24,NA,1984,1
1984-05-04,"413",9025,17,NA,1984,1
1984-05-04,"414",9025,17,NA,1984,1
1984-05-04,"aba27",12809,24,NA,1984,1
1984-05-05,"WI-683143",111096,13,NA,1984,1
1984-05-07,"aba14",1038367,8,NA,1984,1
1984-05-09,"416",738,46,NA,1984,1
1984-05-09,"417",738,46,NA,1984,1
1984-05-13,"WI-643451",108132,11,NA,1984,1
1984-05-16,"MIDAS-5222",110665,15,NA,1984,1
1984-06-12,"WI-153112",109602,11,NA,1984,1
1984-07-31,"25",1045611,15,NA,1984,1
1985-02-25,"117",825,29,NA,1985,1
1985-02-28,"aba30",16673,16,NA,1985,1
1985-03-01,"393",9373,15,NA,1985,1
1985-03-09,"391",9322,24,NA,1985,1
1985-03-10,"118",9358,30,NA,1985,1
1985-03-14,"119",112796,15,NA,1985,1
1985-03-14,"390",808,50,NA,1985,1
1985-03-15,"389",9313,29,NA,1985,1
1985-03-18,"93",9219,20,NA,1985,1
1985-03-18,"94",9273,31,NA,1985,1
1985-03-22,"96",796,49,NA,1985,1
1985-03-27,"400",9288,21,NA,1985,1
1985-03-29,"6",1275,309,NA,1985,1
1985-04-02,"24",14185,70,NA,1985,1
1985-04-04,"1",8478,64,NA,1985,1
1985-04-06,"115",730,8,NA,1985,1
1985-04-07,"395",110899,24,NA,1985,1
1985-04-13,"23",170136,27,NA,1985,1
1985-04-13,"31",9086,24,NA,1985,1
1985-04-13,"WI-683143",111096,13,NA,1985,1
1985-04-17,"339",8906,35,NA,1985,1
1985-04-18,"WI-593072",8939,25,NA,1985,1
1985-04-19,"124",9102,21,NA,1985,1
1985-04-19,"15",9017,11,NA,1985,1
1985-04-19,"16",9017,11,NA,1985,1
1985-04-19,"413",9025,17,NA,1985,1
1985-04-19,"414",9025,17,NA,1985,1
1985-04-19,"7",111593,28,NA,1985,1
1985-04-19,"WI-643451",108132,11,NA,1985,1
1985-04-20,"147",8931,9,NA,1985,1
1985-04-20,"186",110227,12,NA,1985,1
1985-04-20,"242",110435,10,NA,1985,1
1985-04-20,"306",64,121,NA,1985,1
1985-04-20,"MIDAS-9961",110435,10,NA,1985,1
1985-04-20,"WI-443210",8772,26,NA,1985,1
1985-04-21,"192",110740,18,NA,1985,1
1985-04-24,"MIDAS-5222",110665,15,NA,1985,1
1985-04-27,"aba14",1038367,8,NA,1985,1
1985-04-28,"416",738,46,NA,1985,1
1985-04-28,"417",738,46,NA,1985,1
1985-04-28,"aba15",6632,23,NA,1985,1
1985-05-12,"aba27",12809,24,NA,1985,1
1985-06-24,"WI-153112",109602,11,NA,1985,1
1985-06-30,"25",1045611,15,NA,1985,1
1986-02-17,"117",825,29,NA,1986,1
1986-02-18,"393",9373,15,NA,1986,1
1986-03-02,"118",9358,30,NA,1986,1
1986-03-06,"391",9322,24,NA,1986,1
1986-03-09,"119",112796,15,NA,1986,1
1986-03-09,"389",9313,29,NA,1986,1
1986-03-09,"390",808,50,NA,1986,1
1986-03-10,"aba30",16673,16,NA,1986,1
1986-03-14,"6",1275,309,NA,1986,1
1986-03-15,"1",8478,64,NA,1986,1
1986-03-22,"94",9273,31,NA,1986,1
1986-03-25,"400",9288,21,NA,1986,1
1986-03-25,"93",9219,20,NA,1986,1
1986-03-25,"96",796,49,NA,1986,1
1986-03-28,"115",730,8,NA,1986,1
1986-03-30,"24",14185,70,NA,1986,1
1986-04-03,"395",110899,24,NA,1986,1
1986-04-12,"15",9017,11,NA,1986,1
1986-04-12,"16",9017,11,NA,1986,1
1986-04-13,"242",110435,10,NA,1986,1
1986-04-13,"MIDAS-9961",110435,10,NA,1986,1
1986-04-14,"147",8931,9,NA,1986,1
1986-04-14,"186",110227,12,NA,1986,1
1986-04-14,"192",110740,18,NA,1986,1
1986-04-17,"124",9102,21,NA,1986,1
1986-04-17,"31",9086,24,NA,1986,1
1986-04-18,"23",170136,27,NA,1986,1
1986-04-18,"7",111593,28,NA,1986,1
1986-04-20,"339",8906,35,NA,1986,1
1986-04-23,"WI-593072",8939,25,NA,1986,1
1986-04-23,"WI-683143",111096,13,NA,1986,1
1986-04-24,"306",64,121,NA,1986,1
1986-04-24,"WI-443210",8772,26,NA,1986,1
1986-04-25,"413",9025,17,NA,1986,1
1986-04-25,"414",9025,17,NA,1986,1
1986-04-25,"WI-643451",108132,11,NA,1986,1
1986-05-04,"416",738,46,NA,1986,1
1986-05-04,"417",738,46,NA,1986,1
1986-05-05,"aba27",12809,24,NA,1986,1
1986-05-06,"aba15",6632,23,NA,1986,1
1986-05-14,"MIDAS-5222",110665,15,NA,1986,1
1986-05-15,"aba14",1038367,8,NA,1986,1
1986-05-23,"WI-153112",109602,11,NA,1986,1
1986-07-07,"25",1045611,15,NA,1986,1
1987-02-02,"117",825,29,NA,1987,1
1987-03-01,"393",9373,15,NA,1987,1
1987-03-02,"118",9358,30,NA,1987,1
1987-03-03,"119",112796,15,NA,1987,1
1987-03-03,"389",9313,29,NA,1987,1
1987-03-03,"390",808,50,NA,1987,1
1987-03-03,"391",9322,24,NA,1987,1
1987-03-13,"94",9273,31,NA,1987,1
1987-03-18,"1",8478,64,NA,1987,1
1987-03-18,"96",796,49,NA,1987,1
1987-03-20,"aba30",16673,16,NA,1987,1
1987-03-30,"aba14",1038367,8,NA,1987,1
1987-04-01,"115",730,8,NA,1987,1
1987-04-03,"93",9219,20,NA,1987,1
1987-04-04,"395",110899,24,NA,1987,1
1987-04-05,"6",1275,309,NA,1987,1
1987-04-07,"24",14185,70,NA,1987,1
1987-04-08,"339",8906,35,NA,1987,1
1987-04-08,"400",9288,21,NA,1987,1
1987-04-08,"WI-643451",108132,11,NA,1987,1
1987-04-09,"WI-683143",111096,13,NA,1987,1
1987-04-10,"147",8931,9,NA,1987,1
1987-04-10,"15",9017,11,NA,1987,1
1987-04-10,"16",9017,11,NA,1987,1
1987-04-11,"124",9102,21,NA,1987,1
1987-04-12,"413",9025,17,NA,1987,1
1987-04-12,"414",9025,17,NA,1987,1
1987-04-14,"23",170136,27,NA,1987,1
1987-04-14,"242",110435,10,NA,1987,1
1987-04-14,"MIDAS-9961",110435,10,NA,1987,1
1987-04-15,"31",9086,24,NA,1987,1
1987-04-15,"WI-443210",8772,26,NA,1987,1
1987-04-15,"WI-593072",8939,25,NA,1987,1
1987-04-17,"306",64,121,NA,1987,1
1987-04-18,"186",110227,12,NA,1987,1
1987-04-18,"7",111593,28,NA,1987,1
1987-04-19,"192",110740,18,NA,1987,1
1987-04-24,"416",738,46,NA,1987,1
1987-04-24,"417",738,46,NA,1987,1
1987-04-27,"aba15",6632,23,NA,1987,1
1987-05-09,"MIDAS-5222",110665,15,NA,1987,1
1987-05-11,"aba27",12809,24,NA,1987,1
1987-05-24,"WI-153112",109602,11,NA,1987,1
1987-05-25,"25",1045611,15,NA,1987,1
1988-02-24,"aba30",16673,16,NA,1988,1
1988-02-25,"117",825,29,NA,1988,1
1988-02-25,"393",9373,15,NA,1988,1
1988-03-14,"6",1275,309,NA,1988,1
1988-03-18,"118",9358,30,NA,1988,1
1988-03-19,"391",9322,24,NA,1988,1
1988-03-20,"119",112796,15,NA,1988,1
1988-03-20,"389",9313,29,NA,1988,1
1988-03-20,"390",808,50,NA,1988,1
1988-03-23,"93",9219,20,NA,1988,1
1988-03-23,"94",9273,31,NA,1988,1
1988-03-26,"96",796,49,NA,1988,1
1988-03-27,"400",9288,21,NA,1988,1
1988-04-01,"24",14185,70,NA,1988,1
1988-04-06,"115",730,8,NA,1988,1
1988-04-07,"1",8478,64,NA,1988,1
1988-04-08,"395",110899,24,NA,1988,1
1988-04-09,"23",170136,27,NA,1988,1
1988-04-09,"aba14",1038367,8,NA,1988,1
1988-04-15,"31",9086,24,NA,1988,1
1988-04-23,"339",8906,35,NA,1988,1
1988-04-26,"147",8931,9,NA,1988,1
1988-04-26,"15",9017,11,NA,1988,1
1988-04-26,"16",9017,11,NA,1988,1
1988-04-26,"186",110227,12,NA,1988,1
1988-04-26,"242",110435,10,NA,1988,1
1988-04-26,"7",111593,28,NA,1988,1
1988-04-26,"MIDAS-9961",110435,10,NA,1988,1
1988-04-28,"WI-443210",8772,26,NA,1988,1
1988-04-28,"WI-593072",8939,25,NA,1988,1
1988-04-29,"124",9102,21,NA,1988,1
1988-04-29,"192",110740,18,NA,1988,1
1988-04-29,"WI-643451",108132,11,NA,1988,1
1988-04-29,"WI-683143",111096,13,NA,1988,1
1988-04-29,"aba15",6632,23,NA,1988,1
1988-04-30,"413",9025,17,NA,1988,1
1988-04-30,"414",9025,17,NA,1988,1
1988-05-02,"306",64,121,NA,1988,1
1988-05-02,"416",738,46,NA,1988,1
1988-05-02,"417",738,46,NA,1988,1
1988-05-05,"aba27",12809,24,NA,1988,1
1988-05-06,"MIDAS-5222",110665,15,NA,1988,1
1988-05-29,"25",1045611,15,NA,1988,1
1988-07-01,"WI-153112",109602,11,NA,1988,1
1989-03-06,"6",1275,309,NA,1989,1
1989-03-10,"117",825,29,NA,1989,1
1989-03-10,"393",9373,15,NA,1989,1
1989-03-11,"390",808,50,NA,1989,1
1989-03-11,"391",9322,24,NA,1989,1
1989-03-11,"aba30",16673,16,NA,1989,1
1989-03-12,"118",9358,30,NA,1989,1
1989-03-12,"119",112796,15,NA,1989,1
1989-03-22,"24",14185,70,NA,1989,1
1989-03-22,"389",9313,29,NA,1989,1
1989-03-24,"94",9273,31,NA,1989,1
1989-03-25,"400",9288,21,NA,1989,1
1989-03-25,"96",796,49,NA,1989,1
1989-03-27,"23",170136,27,NA,1989,1
1989-03-27,"93",9219,20,NA,1989,1
1989-04-05,"395",110899,24,NA,1989,1
1989-04-06,"aba14",1038367,8,NA,1989,1
1989-04-07,"1",8478,64,NA,1989,1
1989-04-08,"115",730,8,NA,1989,1
1989-04-18,"WI-683143",111096,13,NA,1989,1
1989-04-19,"31",9086,24,NA,1989,1
1989-04-20,"339",8906,35,NA,1989,1
1989-04-21,"WI-643451",108132,11,NA,1989,1
1989-04-23,"413",9025,17,NA,1989,1
1989-04-23,"414",9025,17,NA,1989,1
1989-04-23,"WI-593072",8939,25,NA,1989,1
1989-04-24,"WI-443210",8772,26,NA,1989,1
1989-04-25,"7",111593,28,NA,1989,1
1989-04-26,"124",9102,21,NA,1989,1
1989-04-28,"147",8931,9,NA,1989,1
1989-04-28,"15",9017,11,NA,1989,1
1989-04-28,"16",9017,11,NA,1989,1
1989-04-28,"186",110227,12,NA,1989,1
1989-04-28,"192",110740,18,NA,1989,1
1989-04-28,"242",110435,10,NA,1989,1
