"LakeID","Year","Layer","Temp_C"
"115",1991,"HYPO",6.00338709677419
"115",1991,"META",13.4935887096774
"115",1992,"EPI",22.5153225806452
"115",1992,"HYPO",5.80408602150538
"115",1992,"META",12.394247311828
"115",1993,"EPI",23.0711290322581
"115",1993,"HYPO",5.82441935483871
"115",1993,"META",12.5086693548387
"115",1994,"EPI",24.9309677419355
"115",1994,"HYPO",5.86616129032258
"115",1994,"META",13.3847177419355
"115",1995,"HYPO",6.05602150537634
"115",1995,"META",13.3679569892473
"115",1996,"EPI",24.6437096774194
"115",1996,"HYPO",5.66925806451613
"115",1996,"META",12.8819758064516
"115",1997,"EPI",24.5091935483871
"115",1997,"HYPO",5.69145161290323
"115",1997,"META",12.3191935483871
"115",1998,"HYPO",5.73706451612903
"115",1998,"META",12.5602822580645
"115",1999,"HYPO",5.70051612903226
"115",1999,"META",13.0052016129032
"115",2000,"HYPO",5.84489247311828
"115",2000,"META",12.6831182795699
"117",1991,"EPI",30.1946370967742
"117",1991,"HYPO",24.813064516129
"117",1991,"META",27.3266532258064
"117",1992,"EPI",27.8755913978495
"117",1992,"HYPO",22.4150537634409
"117",1992,"META",25.1592338709677
"117",1993,"EPI",28.2196451612903
"117",1993,"HYPO",22.8511290322581
"117",1993,"META",24.5951209677419
"117",1994,"EPI",28.7362903225806
"117",1994,"HYPO",24.0481182795699
"117",1994,"META",26.363185483871
"117",1995,"EPI",27.6967741935484
"117",1995,"HYPO",22.7014516129032
"117",1995,"META",24.6159677419355
"117",1996,"EPI",27.315564516129
"117",1996,"HYPO",22.563064516129
"117",1996,"META",24.1481048387097
"117",1997,"EPI",28.8439919354839
"117",1997,"HYPO",21.7790322580645
"117",1997,"META",25.2950806451613
"117",1998,"EPI",27.8551612903226
"117",1998,"HYPO",21.4306451612903
"117",1998,"META",24.7072903225806
"117",1999,"EPI",27.9881612903226
"117",1999,"HYPO",25.3269892473118
"117",1999,"META",26.7343548387097
"118",1991,"EPI",28.8337096774194
"118",1991,"HYPO",25.5848387096774
"118",1991,"META",27.0328494623656
"118",1992,"EPI",26.8072580645161
"118",1992,"HYPO",21.9421774193548
"118",1992,"META",24.1340860215054
"118",1994,"EPI",27.1327419354839
"118",1994,"HYPO",23.8093548387097
"118",1994,"META",25.2728494623656
"118",1995,"EPI",26.5320967741936
"118",1995,"HYPO",20.8172580645161
"118",1995,"META",23.3447177419355
"118",1996,"EPI",26.4549193548387
"118",1996,"HYPO",21.2462903225806
"118",1996,"META",23.4850403225806
"118",1997,"EPI",27.881935483871
"118",1997,"HYPO",21.9239516129032
"118",1997,"META",25.13
"118",1998,"EPI",26.5444193548387
"118",1998,"HYPO",21.9712096774194
"118",1998,"META",24.0962365591398
"118",1999,"EPI",27.6162258064516
"118",1999,"HYPO",24.3295161290323
"118",1999,"META",25.6030107526882
