"Temp_C","Wind_ms","Shortwave_mJm2","Date","LakeID","Lat","Lon"
-2.2,3.57,1.03,1980-01-01,"297",57.5,13.75
-5.4,4.24,1.02,1980-01-02,"297",57.5,13.75
-11,4.51,1.89,1980-01-03,"297",57.5,13.75
-12.8,4.39,1.3,1980-01-04,"297",57.5,13.75
-3.9,5.12,0.6,1980-01-05,"297",57.5,13.75
-3.9,3.81,1.26,1980-01-06,"297",57.5,13.75
-4.3,3,1.04,1980-01-07,"297",57.5,13.75
-3.2,3.44,1.29,1980-01-08,"297",57.5,13.75
-2.5,3.62,1.27,1980-01-09,"297",57.5,13.75
-2.8,3.21,1.05,1980-01-10,"297",57.5,13.75
-4.3,2.2,0.84,1980-01-11,"297",57.5,13.75
-5.9,3.31,1.83,1980-01-12,"297",57.5,13.75
-1.5,6.4,1.19,1980-01-13,"297",57.5,13.75
-0.1,6.17,0.85,1980-01-14,"297",57.5,13.75
-2.2,3.85,2.42,1980-01-15,"297",57.5,13.75
-5,3.69,2.48,1980-01-16,"297",57.5,13.75
-2.6,4.89,0.81,1980-01-17,"297",57.5,13.75
-0.1,3.83,0.93,1980-01-18,"297",57.5,13.75
-1.3,3.09,0.9,1980-01-19,"297",57.5,13.75
-2.6,4.83,2.21,1980-01-20,"297",57.5,13.75
-3,4.48,0.81,1980-01-21,"297",57.5,13.75
-2.1,5.33,1.01,1980-01-22,"297",57.5,13.75
0.1,3.26,1.49,1980-01-23,"297",57.5,13.75
-2.8,3.64,1.31,1980-01-24,"297",57.5,13.75
-10.7,4.22,2.47,1980-01-25,"297",57.5,13.75
-15.3,3.96,3.27,1980-01-26,"297",57.5,13.75
-9.5,5.02,3.74,1980-01-27,"297",57.5,13.75
-13.8,3,3.83,1980-01-28,"297",57.5,13.75
-3.9,3.5,2.04,1980-01-29,"297",57.5,13.75
-5,5.67,1.25,1980-01-30,"297",57.5,13.75
-5.8,5.22,2.04,1980-01-31,"297",57.5,13.75
-9.9,4.7,3.03,1980-02-01,"297",57.5,13.75
-11,2.69,3.42,1980-02-02,"297",57.5,13.75
-8.9,3.22,3.68,1980-02-03,"297",57.5,13.75
-8.7,1.92,4.34,1980-02-04,"297",57.5,13.75
-11,5.02,4.51,1980-02-05,"297",57.5,13.75
-6.7,5.01,3.17,1980-02-06,"297",57.5,13.75
-8.3,3.98,2.79,1980-02-07,"297",57.5,13.75
-13,4.22,4.84,1980-02-08,"297",57.5,13.75
