"Temp_C","Wind_ms","Shortwave_mJm2","Date","LakeID","Lat","Lon"
-3.7,3.91,7.49,1980-01-01,"MIDAS-4822",44.5,-68.75
-2.6,6.31,6.25,1980-01-02,"MIDAS-4822",44.5,-68.75
-7.9,6.26,7.59,1980-01-03,"MIDAS-4822",44.5,-68.75
-9,5.38,7.78,1980-01-04,"MIDAS-4822",44.5,-68.75
-9.7,7.37,4.23,1980-01-05,"MIDAS-4822",44.5,-68.75
-11.3,7.17,7.94,1980-01-06,"MIDAS-4822",44.5,-68.75
-1.9,11.48,1.85,1980-01-07,"MIDAS-4822",44.5,-68.75
-0.1,7.02,7.81,1980-01-08,"MIDAS-4822",44.5,-68.75
-3.9,4.89,6.07,1980-01-09,"MIDAS-4822",44.5,-68.75
-8,5.38,8.25,1980-01-10,"MIDAS-4822",44.5,-68.75
1,11.06,2.5,1980-01-11,"MIDAS-4822",44.5,-68.75
3,12.1,6.97,1980-01-12,"MIDAS-4822",44.5,-68.75
-6.6,8.46,8.22,1980-01-13,"MIDAS-4822",44.5,-68.75
2,6.43,3.87,1980-01-14,"MIDAS-4822",44.5,-68.75
3.9,7.69,2.9,1980-01-15,"MIDAS-4822",44.5,-68.75
-2.8,7.78,8.42,1980-01-16,"MIDAS-4822",44.5,-68.75
-3,5.68,2.42,1980-01-17,"MIDAS-4822",44.5,-68.75
1.6,3.51,1.11,1980-01-18,"MIDAS-4822",44.5,-68.75
2.7,4.74,3.08,1980-01-19,"MIDAS-4822",44.5,-68.75
-1.3,8.68,9.01,1980-01-20,"MIDAS-4822",44.5,-68.75
-7.5,9.08,9.11,1980-01-21,"MIDAS-4822",44.5,-68.75
-6.8,6.41,8.71,1980-01-22,"MIDAS-4822",44.5,-68.75
-0.6,5.54,2.13,1980-01-23,"MIDAS-4822",44.5,-68.75
-11,8.55,9.42,1980-01-24,"MIDAS-4822",44.5,-68.75
-11.1,7.5,9.82,1980-01-25,"MIDAS-4822",44.5,-68.75
-7.8,7.27,9.9,1980-01-26,"MIDAS-4822",44.5,-68.75
-5.5,7.21,10.03,1980-01-27,"MIDAS-4822",44.5,-68.75
-4.2,7.24,9.55,1980-01-28,"MIDAS-4822",44.5,-68.75
-7.4,6.08,10.43,1980-01-29,"MIDAS-4822",44.5,-68.75
-12.3,7.02,10.28,1980-01-30,"MIDAS-4822",44.5,-68.75
-12,5.45,10.36,1980-01-31,"MIDAS-4822",44.5,-68.75
-10.6,6.48,9.34,1980-02-01,"MIDAS-4822",44.5,-68.75
-10.6,6.1,10.57,1980-02-02,"MIDAS-4822",44.5,-68.75
-10.1,5.19,9.76,1980-02-03,"MIDAS-4822",44.5,-68.75
-8,4.79,10.89,1980-02-04,"MIDAS-4822",44.5,-68.75
-7.5,5.02,10.74,1980-02-05,"MIDAS-4822",44.5,-68.75
-5.7,4.88,11.39,1980-02-06,"MIDAS-4822",44.5,-68.75
-5.8,6.75,5.85,1980-02-07,"MIDAS-4822",44.5,-68.75
-4,6.64,10.85,1980-02-08,"MIDAS-4822",44.5,-68.75
-5.5,4.55,12.06,1980-02-09,"MIDAS-4822",44.5,-68.75
-7.3,5.56,12.08,1980-02-10,"MIDAS-4822",44.5,-68.75
-7.2,5.19,12.59,1980-02-11,"MIDAS-4822",44.5,-68.75
-3.8,5.02,10.83,1980-02-12,"MIDAS-4822",44.5,-68.75
-4.1,5.14,12.86,1980-02-13,"MIDAS-4822",44.5,-68.75
-3.3,5.5,11.09,1980-02-14,"MIDAS-4822",44.5,-68.75
-3.9,6.66,13.28,1980-02-15,"MIDAS-4822",44.5,-68.75
-6.6,6.33,3.72,1980-02-16,"MIDAS-4822",44.5,-68.75
-8.6,8.19,13.84,1980-02-17,"MIDAS-4822",44.5,-68.75
-7.6,5.1,13.48,1980-02-18,"MIDAS-4822",44.5,-68.75
-1.7,5.95,13.12,1980-02-19,"MIDAS-4822",44.5,-68.75
1.1,3.57,13.32,1980-02-20,"MIDAS-4822",44.5,-68.75
0.8,6.64,8.02,1980-02-21,"MIDAS-4822",44.5,-68.75
-9.5,5.36,11.21,1980-02-22,"MIDAS-4822",44.5,-68.75
-0.8,4.8,11.98,1980-02-23,"MIDAS-4822",44.5,-68.75
-2.5,3.98,7.5,1980-02-24,"MIDAS-4822",44.5,-68.75
-0.7,5.02,14.16,1980-02-25,"MIDAS-4822",44.5,-68.75
-8.6,7.62,13.35,1980-02-26,"MIDAS-4822",44.5,-68.75
-12.3,6.74,14.3,1980-02-27,"MIDAS-4822",44.5,-68.75
-8.4,4.94,11.63,1980-02-28,"MIDAS-4822",44.5,-68.75
-11.1,7.66,13.24,1980-02-29,"MIDAS-4822",44.5,-68.75
-12.9,7.31,16.75,1980-03-01,"MIDAS-4822",44.5,-68.75
-12.6,5.09,17.2,1980-03-02,"MIDAS-4822",44.5,-68.75
-9.7,5.3,17.17,1980-03-03,"MIDAS-4822",44.5,-68.75
-4.8,3.89,16.64,1980-03-04,"MIDAS-4822",44.5,-68.75
-0.4,6.41,6.7,1980-03-05,"MIDAS-4822",44.5,-68.75
1.7,7.2,16.63,1980-03-06,"MIDAS-4822",44.5,-68.75
0.5,6.85,9.77,1980-03-07,"MIDAS-4822",44.5,-68.75
0.8,5.44,2.24,1980-03-08,"MIDAS-4822",44.5,-68.75
1,4.2,10.57,1980-03-09,"MIDAS-4822",44.5,-68.75
0.2,6.17,17.27,1980-03-10,"MIDAS-4822",44.5,-68.75
1.7,9.48,4.05,1980-03-11,"MIDAS-4822",44.5,-68.75
-8.3,8.77,18.49,1980-03-12,"MIDAS-4822",44.5,-68.75
-7.2,6.66,18.92,1980-03-13,"MIDAS-4822",44.5,-68.75
0.1,10.31,2.67,1980-03-14,"MIDAS-4822",44.5,-68.75
-3.3,10.26,17.29,1980-03-15,"MIDAS-4822",44.5,-68.75
-5,9.16,20.23,1980-03-16,"MIDAS-4822",44.5,-68.75
-0.7,6.11,13,1980-03-17,"MIDAS-4822",44.5,-68.75
