"Temp_C","Wind_ms","Shortwave_mJm2","Date","LakeID","Lat","Lon"
-7.2,1.41,6.51,1980-01-01,"NHLAK801030101-01-01",44.25,-72
-5,3.86,3.48,1980-01-02,"NHLAK801030101-01-01",44.25,-72
-10.3,4.05,7.73,1980-01-03,"NHLAK801030101-01-01",44.25,-72
-13,2.92,7.94,1980-01-04,"NHLAK801030101-01-01",44.25,-72
-11,4.04,7.68,1980-01-05,"NHLAK801030101-01-01",44.25,-72
-13,3.42,8.23,1980-01-06,"NHLAK801030101-01-01",44.25,-72
-4.9,6.8,1.65,1980-01-07,"NHLAK801030101-01-01",44.25,-72
-3.6,5.1,5.69,1980-01-08,"NHLAK801030101-01-01",44.25,-72
-8,3.32,4.3,1980-01-09,"NHLAK801030101-01-01",44.25,-72
-10,2.66,7.88,1980-01-10,"NHLAK801030101-01-01",44.25,-72
-0.5,7.92,2.12,1980-01-11,"NHLAK801030101-01-01",44.25,-72
-1.5,8.21,7.33,1980-01-12,"NHLAK801030101-01-01",44.25,-72
-7.7,5.39,6.81,1980-01-13,"NHLAK801030101-01-01",44.25,-72
-1.5,4.49,2.13,1980-01-14,"NHLAK801030101-01-01",44.25,-72
1.4,4.2,5.35,1980-01-15,"NHLAK801030101-01-01",44.25,-72
-2.8,3.52,8.88,1980-01-16,"NHLAK801030101-01-01",44.25,-72
-4.2,2.72,4.44,1980-01-17,"NHLAK801030101-01-01",44.25,-72
1.1,2.73,3.61,1980-01-18,"NHLAK801030101-01-01",44.25,-72
1.8,3.94,3.36,1980-01-19,"NHLAK801030101-01-01",44.25,-72
-3.1,6.07,8.19,1980-01-20,"NHLAK801030101-01-01",44.25,-72
-8.6,7.29,8.95,1980-01-21,"NHLAK801030101-01-01",44.25,-72
-8.7,4.05,6.47,1980-01-22,"NHLAK801030101-01-01",44.25,-72
-5,4.61,6.14,1980-01-23,"NHLAK801030101-01-01",44.25,-72
-14.5,6.11,9.13,1980-01-24,"NHLAK801030101-01-01",44.25,-72
-14.3,4.81,10.29,1980-01-25,"NHLAK801030101-01-01",44.25,-72
-10.3,4.52,9.85,1980-01-26,"NHLAK801030101-01-01",44.25,-72
-8.2,3.67,9.86,1980-01-27,"NHLAK801030101-01-01",44.25,-72
-8,6.59,7.24,1980-01-28,"NHLAK801030101-01-01",44.25,-72
-10.4,4.18,9.97,1980-01-29,"NHLAK801030101-01-01",44.25,-72
-15.1,5.61,10.22,1980-01-30,"NHLAK801030101-01-01",44.25,-72
-15.7,4.34,10.58,1980-01-31,"NHLAK801030101-01-01",44.25,-72
-14.6,5.38,9,1980-02-01,"NHLAK801030101-01-01",44.25,-72
-14.3,5.4,10.43,1980-02-02,"NHLAK801030101-01-01",44.25,-72
-13.9,3.82,10.78,1980-02-03,"NHLAK801030101-01-01",44.25,-72
-12.2,3.11,11.1,1980-02-04,"NHLAK801030101-01-01",44.25,-72
-11.8,3.54,11,1980-02-05,"NHLAK801030101-01-01",44.25,-72
-11.7,2.77,11.46,1980-02-06,"NHLAK801030101-01-01",44.25,-72
-8.7,3.64,7.91,1980-02-07,"NHLAK801030101-01-01",44.25,-72
-8.9,3.58,12.3,1980-02-08,"NHLAK801030101-01-01",44.25,-72
-9.3,2.28,11.89,1980-02-09,"NHLAK801030101-01-01",44.25,-72
-10.8,3.64,12.24,1980-02-10,"NHLAK801030101-01-01",44.25,-72
-9.8,2.11,11.5,1980-02-11,"NHLAK801030101-01-01",44.25,-72
-7,4.53,10.67,1980-02-12,"NHLAK801030101-01-01",44.25,-72
-7.5,3.83,9.25,1980-02-13,"NHLAK801030101-01-01",44.25,-72
-5.8,3.77,9.02,1980-02-14,"NHLAK801030101-01-01",44.25,-72
-7.3,4.08,10.45,1980-02-15,"NHLAK801030101-01-01",44.25,-72
-9.2,4.42,2.82,1980-02-16,"NHLAK801030101-01-01",44.25,-72
-14.1,5.15,11.06,1980-02-17,"NHLAK801030101-01-01",44.25,-72
-9.3,4.03,14.21,1980-02-18,"NHLAK801030101-01-01",44.25,-72
-3.1,4.06,11.22,1980-02-19,"NHLAK801030101-01-01",44.25,-72
-0.7,3.49,13.88,1980-02-20,"NHLAK801030101-01-01",44.25,-72
-0.8,5.28,5.87,1980-02-21,"NHLAK801030101-01-01",44.25,-72
-8.8,3.99,7.22,1980-02-22,"NHLAK801030101-01-01",44.25,-72
-4,4.24,8.88,1980-02-23,"NHLAK801030101-01-01",44.25,-72
-3.1,4.65,8.89,1980-02-24,"NHLAK801030101-01-01",44.25,-72
-3.6,3.95,12.51,1980-02-25,"NHLAK801030101-01-01",44.25,-72
-14.4,5.56,14.48,1980-02-26,"NHLAK801030101-01-01",44.25,-72
-14.9,5.02,9.14,1980-02-27,"NHLAK801030101-01-01",44.25,-72
