"Temp_C","Wind_ms","Shortwave_mJm2","Date","LakeID","Lat","Lon"
13,5.78,4.33,1980-01-01,"aba24",43.25,-8.5
12.1,3.07,4.56,1980-01-02,"aba24",43.25,-8.5
10.9,5,5.43,1980-01-03,"aba24",43.25,-8.5
12.3,8.55,2.83,1980-01-04,"aba24",43.25,-8.5
9.6,2.5,5.81,1980-01-05,"aba24",43.25,-8.5
8.3,5.22,7.03,1980-01-06,"aba24",43.25,-8.5
11.6,6.41,5.69,1980-01-07,"aba24",43.25,-8.5
11,6.04,2.01,1980-01-08,"aba24",43.25,-8.5
9.8,7.46,1.5,1980-01-09,"aba24",43.25,-8.5
10,7.96,4.33,1980-01-10,"aba24",43.25,-8.5
9.4,6.17,4.44,1980-01-11,"aba24",43.25,-8.5
7.7,10.24,6.96,1980-01-12,"aba24",43.25,-8.5
6.4,7.56,7.25,1980-01-13,"aba24",43.25,-8.5
6.2,6.31,8.43,1980-01-14,"aba24",43.25,-8.5
5.2,3.11,6.11,1980-01-15,"aba24",43.25,-8.5
7.6,7.89,8.82,1980-01-16,"aba24",43.25,-8.5
7.6,6.52,6.49,1980-01-17,"aba24",43.25,-8.5
6.7,4.13,5.86,1980-01-18,"aba24",43.25,-8.5
9.6,7.52,6.72,1980-01-19,"aba24",43.25,-8.5
10.3,7.7,6.82,1980-01-20,"aba24",43.25,-8.5
12.4,11.49,1.84,1980-01-21,"aba24",43.25,-8.5
10.2,7.08,2.15,1980-01-22,"aba24",43.25,-8.5
12,12.43,1.95,1980-01-23,"aba24",43.25,-8.5
13.9,10.15,5.11,1980-01-24,"aba24",43.25,-8.5
14.1,5.3,3.57,1980-01-25,"aba24",43.25,-8.5
14.9,3.76,9.01,1980-01-26,"aba24",43.25,-8.5
12.8,2.86,9.54,1980-01-27,"aba24",43.25,-8.5
13,3.89,9.28,1980-01-28,"aba24",43.25,-8.5
13.5,7.7,6.54,1980-01-29,"aba24",43.25,-8.5
14,11.12,2.88,1980-01-30,"aba24",43.25,-8.5
12.1,11.2,7.98,1980-01-31,"aba24",43.25,-8.5
10.6,5.67,6.13,1980-02-01,"aba24",43.25,-8.5
12.6,8.96,6.94,1980-02-02,"aba24",43.25,-8.5
12.2,7.44,8.53,1980-02-03,"aba24",43.25,-8.5
14.1,8.35,3.62,1980-02-04,"aba24",43.25,-8.5
14.4,7,2.15,1980-02-05,"aba24",43.25,-8.5
12.7,8.79,5.6,1980-02-06,"aba24",43.25,-8.5
10.8,8.1,9.09,1980-02-07,"aba24",43.25,-8.5
13.1,10.62,3.98,1980-02-08,"aba24",43.25,-8.5
11.9,10.24,7.63,1980-02-09,"aba24",43.25,-8.5
9.6,2.62,9.23,1980-02-10,"aba24",43.25,-8.5
8.7,2.72,11.88,1980-02-11,"aba24",43.25,-8.5
9.2,4.85,9.48,1980-02-12,"aba24",43.25,-8.5
10.9,3.14,8.84,1980-02-13,"aba24",43.25,-8.5
10.8,6.17,6.33,1980-02-14,"aba24",43.25,-8.5
12.7,8.01,2.61,1980-02-15,"aba24",43.25,-8.5
10.3,3.1,13.27,1980-02-16,"aba24",43.25,-8.5
12.1,4.69,10.88,1980-02-17,"aba24",43.25,-8.5
12.9,4.48,5.57,1980-02-18,"aba24",43.25,-8.5
10.4,6.69,2.09,1980-02-19,"aba24",43.25,-8.5
